country,year,co2
World,1750,9.306
World,1751,9.407
World,1752,9.505
World,1753,9.61
World,1754,9.734
World,1755,9.793
World,1756,9.91
World,1757,10.094
World,1758,10.216
World,1759,10.339
World,1760,10.514
World,1761,10.748
World,1762,10.952
World,1763,11.192
World,1764,11.397
World,1765,11.643
World,1766,11.876
World,1767,12.153
World,1768,12.467
World,1769,12.78
World,1770,13.097
World,1771,13.369
World,1772,13.624
World,1773,13.808
World,1774,14.012
World,1775,14.339
World,1776,14.654
World,1777,14.96
World,1778,15.243
World,1779,15.535
World,1780,15.879
World,1781,16.234
World,1782,16.581
World,1783,17.063
World,1784,17.471
World,1785,17.965
World,1786,18.447
World,1787,18.859
World,1788,19.286
World,1789,19.863
World,1790,20.398
World,1791,20.932
World,1792,21.929
World,1793,22.297
World,1794,22.52
World,1795,22.315
World,1796,22.121
World,1797,22.09
World,1798,23.106
World,1799,27.485
World,1800,32.798
World,1801,31.986
World,1802,40.31
World,1803,29.539
World,1804,31.769
World,1805,31.252
World,1806,32.705
World,1807,36.201
World,1808,35.498
World,1809,36.334
World,1810,39.492
World,1811,40.177
World,1812,40.815
World,1813,41.206
World,1814,42.227
World,1815,43.587
World,1816,45.497
World,1817,49.276
World,1818,51.392
World,1819,50.93
World,1820,50.733
World,1821,52.059
World,1822,54.022
World,1823,56.358
World,1824,57.584
World,1825,60.731
World,1826,61.382
World,1827,65.739
World,1828,66.682
World,1829,66.307
World,1830,88.988
World,1831,83.251
World,1832,82.092
World,1833,83.249
World,1834,88.763
World,1835,97.4
World,1836,106.894
World,1837,106.199
World,1838,105.845
World,1839,109.653
World,1840,118.809
World,1841,122.166
World,1842,129.389
World,1843,132.369
World,1844,141.966
World,1845,155.073
World,1846,157.702
World,1847,170.797
World,1848,173.643
World,1849,185.048
World,1850,196.848
World,1851,198.779
World,1852,207.595
World,1853,217.237
World,1854,255.039
World,1855,260.26
World,1856,278.246
World,1857,281.181
World,1858,285.548
World,1859,302.572
World,1860,332.298
World,1861,349.19
World,1862,355.991
World,1863,379.535
World,1864,409.525
World,1865,434.851
World,1866,449.067
World,1867,480.814
World,1868,494.494
World,1869,524.731
World,1870,536.123
World,1871,569.777
World,1872,630.961
World,1873,670.467
World,1874,628.662
World,1875,681.048
World,1876,690.583
World,1877,704.033
World,1878,709.65
World,1879,759.794
World,1880,858.056
World,1881,887.965
World,1882,937.888
World,1883,997.515
World,1884,1009.43
World,1885,1017.145
World,1886,1032.614
World,1887,1083.728
World,1888,1200.802
World,1889,1201.516
World,1890,1306.591
World,1891,1368.916
World,1892,1379.809
World,1893,1362.515
World,1894,1411.533
World,1895,1495.239
World,1896,1544.661
World,1897,1617.493
World,1898,1705.961
World,1899,1863.135
World,1900,1961.491
World,1901,2023.964
World,1902,2074.8
World,1903,2262.046
World,1904,2287.509
World,1905,2437.062
World,1906,2544.486
World,1907,2900.325
World,1908,2785.687
World,1909,2901.167
World,1910,3043.326
World,1911,3090.098
World,1912,3246.477
World,1913,3516.533
World,1914,3189.786
World,1915,3140.277
World,1916,3391.973
World,1917,3548.138
World,1918,3499.686
World,1919,3033.839
World,1920,3537.837
World,1921,3106.184
World,1922,3254.463
World,1923,3690.698
World,1924,3702.777
World,1925,3740.634
World,1926,3677.407
World,1927,4012.947
World,1928,3996.312
World,1929,4288.211
World,1930,3958.096
World,1931,3539.32
World,1932,3192.592
World,1933,3362.683
World,1934,3656.187
World,1935,3835.742
World,1936,4207.931
World,1937,4496.715
World,1938,4229.619
World,1939,4470.135
World,1940,4884.664
World,1941,4999.093
World,1942,4982.524
World,1943,5075.273
World,1944,5162.486
World,1945,4289.312
World,1946,4608.547
World,1947,5165.206
World,1948,5447.885
World,1949,5204.035
World,1950,5930.244
World,1951,6381.429
World,1952,6467.46
World,1953,6650.885
World,1954,6789.529
World,1955,7443.896
World,1956,7926.013
World,1957,8185.645
World,1958,8417.188
World,1959,8854.689
World,1960,9387.011
World,1961,9415.042
World,1962,9747.287
World,1963,10266.772
World,1964,10824.466
World,1965,11310.601
World,1966,11862.646
World,1967,12237.369
World,1968,12905.283
World,1969,13761.785
World,1970,14899.124
World,1971,15503.854
World,1972,16224.597
World,1973,17085.094
World,1974,17011.072
World,1975,17052.752
World,1976,17989.111
World,1977,18498.635
World,1978,19069.291
World,1979,19609.02
World,1980,19488.523
World,1981,19022.902
World,1982,18871.098
World,1983,18991.91
World,1984,19647.801
World,1985,20311.902
World,1986,20614.963
World,1987,21250.074
World,1988,22085.131
World,1989,22386.637
World,1990,22728.988
World,1991,23186.102
World,1992,22528.172
World,1993,22755.787
World,1994,22992.947
World,1995,23532.084
World,1996,24258.168
World,1997,24401.906
World,1998,24303.777
World,1999,24853.729
World,2000,25510.553
World,2001,25706.293
World,2002,26276.869
World,2003,27669.49
World,2004,28632.506
World,2005,29614.395
World,2006,30628.396
World,2007,31534.645
World,2008,32074.199
World,2009,31541.922
World,2010,33355.902
World,2011,34504.539
World,2012,35000.02
World,2013,35301.656
World,2014,35450.094
World,2015,35404.898
World,2016,35416.656
World,2017,35989.898
World,2018,36730.426
World,2019,37104.273
World,2020,35126.527
World,2021,36991.734
World,2022,37293.836
World,2023,37791.57
