Year,GMSL
1993.010959,-0.445896
1993.030137,-0.466597
1993.049315,-0.472719
1993.068493,-0.454883
1993.087671,-0.425817
1993.106849,-0.428338
1993.126027,-0.428794
1993.145206,-0.424755
1993.164384,-0.423003
1993.183562,-0.420715
1993.20274,-0.416704
1993.221918,-0.408239
1993.241096,-0.411499
1993.260274,-0.443668
1993.279452,-0.47749
1993.29863,-0.515472
1993.317808,-0.544253
1993.336986,-0.556466
1993.356164,-0.559747
1993.375343,-0.562841
1993.394521,-0.546611
1993.413699,-0.531251
1993.432877,-0.498515
1993.452055,-0.452548
1993.471233,-0.393139
1993.490411,-0.351437
1993.509589,-0.293704
1993.528767,-0.219591
1993.547945,-0.136523
1993.567123,-0.064642
1993.586301,0.014816
1993.60548,0.093328
1993.624658,0.158136
1993.643836,0.22751
1993.663014,0.32549
1993.682192,0.422177
1993.70137,0.524716
1993.720548,0.612009
1993.739726,0.680785
1993.758904,0.723814
1993.778082,0.740103
1993.79726,0.762411
1993.816438,0.764732
1993.835616,0.754807
1993.854795,0.74815
1993.873973,0.731467
1993.893151,0.720887
1993.912329,0.706377
1993.931507,0.671661
1993.950685,0.635179
1993.969863,0.602562
1993.989041,0.585275
1994.008219,0.557468
1994.027397,0.49542
1994.046575,0.387955
1994.065753,0.280191
1994.084932,0.19897
1994.10411,0.151417
1994.123288,0.129488
1994.142466,0.119635
1994.161644,0.100504
1994.180822,0.09393
1994.2,0.106433
1994.219178,0.140996
1994.238356,0.162782
1994.257534,0.136272
1994.276712,0.091215
1994.29589,0.039357
1994.315069,-0.034707
1994.334247,-0.088259
1994.353425,-0.133853
1994.372603,-0.158659
1994.391781,-0.18098
1994.410959,-0.212153
1994.430137,-0.214465
1994.449315,-0.195134
1994.468493,-0.164696
1994.487671,-0.1192
1994.506849,-0.067783
1994.526027,0.004878
1994.545206,0.069166
1994.564384,0.148188
1994.583562,0.25167
1994.60274,0.363068
1994.621918,0.480752
1994.641096,0.596378
1994.660274,0.715792
1994.679452,0.822989
1994.69863,0.913866
1994.717808,1.010257
